id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43507697,Revitalize - Luxury Executive Condo King West,5988339,Toronto Luxury Suites,,Waterfront Communities-The Island,43.64227,-79.39341,Entire home/apt,130,30,1,2021-01-31,0.07,26,307,0,
43511011,Executive Charming Suite on Front St. at CN Tower,236613205,Xiaoyun,,Waterfront Communities-The Island,43.64509,-79.38841,Entire home/apt,166,2,8,2021-02-06,0.37,1,162,0,STR-2012-GVZBHH
43519191,"Short subl-let, pet friendly, Super comfy",2955082,Debbie,,Casa Loma,43.68781,-79.40225,Entire home/apt,2000,30,0,,,1,365,0,
43523027,Full Sized Kitchen Apt by CN Tower Great Location!,44077287,Ahmed,,Waterfront Communities-The Island,43.64091,-79.38266,Entire home/apt,85,25,5,2021-06-06,0.33,1,39,1,STR-2011-GVHDVH
43524362,Luxury Condo in the heart of Downtown only female,286982749,Jane,,Church-Yonge Corridor,43.65789,-79.37524,Private room,60,28,2,2020-07-31,0.10,3,216,0,
43527013,Spacious private basement suite,4867442,Ruth,,East End-Danforth,43.69072,-79.29812,Private room,40,30,0,,,1,0,0,
43534110,"☆☆☆Amazing 2bed Downtown, Lakeshore",211526817,Golsana,,Niagara,43.6371,-79.40364,Entire home/apt,133,28,0,,,6,62,0,STR-2012-HMDVHL
43541990,Beautiful Historic Downtown Apartment,234471643,Louise,,Cabbagetown-South St.James Town,43.66783,-79.36618,Entire home/apt,125,5,4,2021-05-04,0.22,1,263,2,STR-2101-HVBKVL
43542380,Fully renovated Basement Studio,62846932,Behnaz,,Little Portugal,43.64727,-79.42748,Entire home/apt,75,30,2,2021-08-23,0.16,1,310,1,
43543903,"Newly renovated family house, amazing location.",2368853,Eliane,,Humewood-Cedarvale,43.68917,-79.42699,Entire home/apt,400,3,1,2021-12-26,0.41,1,8,1,STR-2109-JDWVHM
43545203,Deluxe joint room in an upscale house in Toronto.,244387165,Gillian,,Willowdale East,43.77213,-79.38958,Private room,187,2,2,2021-11-22,0.43,3,357,2,STR-2109-FVMHHD
43546133,Downtown Toronto Living,94861425,Kd,,Moss Park,43.65478,-79.36502,Entire home/apt,90,30,0,,,1,37,0,
43548295,2story 3+den townhouse by the cn tower sleeps 12+,15912223,Shane,,Waterfront Communities-The Island,43.64143,-79.39687,Entire home/apt,262,28,3,2021-04-25,0.17,19,365,1,STR-2101-GPHKVG
43553866,"Luxury 2BR Condo in Downtown,  Steps to Subway",285628029,Dagoberto,,Church-Yonge Corridor,43.66559,-79.38303,Entire home/apt,135,28,17,2021-12-29,0.84,3,32,14,STR-2101-GPDXVG
43554871,Spacious 2BDRM/2.5 BATH Yonge & Eglinton -PARKING,15368293,Jacob,,Mount Pleasant West,43.70618,-79.39634,Entire home/apt,300,28,2,2022-01-24,0.10,1,142,1,
43557127,Seeking Co-op Students working @ Yonge & Eglinton,347694778,Marie,,Yonge-Eglinton,43.70987,-79.40351,Private room,30,30,0,,,1,0,0,
43557814,"Nice home in a quiet neighbourhood, close to TTC.",9488125,Lindsay,,Danforth,43.68448,-79.32279,Entire home/apt,280,28,0,,,1,340,0,
43559049,New Luxury condo in the heart of Yorkville,253508790,Daod,,Annex,43.66976,-79.3908,Entire home/apt,130,28,9,2021-03-18,0.44,1,284,1,
43565393,Newly Built Modern with Antique Accents - near TTC,174793600,Shirley & Fred,,Blake-Jones,43.67855,-79.3394,Entire home/apt,87,28,3,2022-02-14,0.45,1,91,3,
43566828,❤ Gorgeous One Bedroom in Entertainment District❤,785826,Sky View,,Bay Street Corridor,43.64915,-79.38637,Entire home/apt,110,30,2,2022-02-09,0.09,133,26,1,
43567076,Pvt. Suite1/Toronto Downtown Private Bath/Entrance,291533774,Davy,,Kensington-Chinatown,43.64755,-79.40356,Private room,85,1,184,2022-03-04,8.49,9,40,92,STR-2009-GVSVBH
43577111,Sonder The Elm | Superior One-Bedroom Apartment,301014754,Sonder (Toronto),,Kensington-Chinatown,43.65643,-79.39126,Private room,223,3,12,2022-02-08,0.57,28,314,7,Approved by government
43577164,Sonder The Elm | One-Bedroom Apartment,301014754,Sonder (Toronto),,Kensington-Chinatown,43.65514,-79.39136,Private room,173,3,7,2022-02-21,0.33,28,344,4,Approved by government
43577270,* CHARMING HOME AWAY FROM HOME WITH FREE PARKING *,2432981,Hayden,,Briar Hill-Belgravia,43.69978,-79.44822,Entire home/apt,95,28,5,2020-07-29,0.22,1,0,0,
43577363,Sonder The Elm | Two-Bedroom Apartment,301014754,Sonder (Toronto),,Kensington-Chinatown,43.65553,-79.39136,Private room,227,3,4,2021-08-22,0.22,28,295,1,Approved by government
43581964,Green & Clean #2 - Parking & Private Bath,346301570,Lucas,,Victoria Village,43.73287,-79.31443,Private room,49,31,0,,,3,365,0,
43593463,Studio Condo in Downtown Toronto #3,342316738,Davar,,Church-Yonge Corridor,43.64799,-79.37672,Private room,129,30,4,2021-05-05,0.24,29,66,2,
43595197,Amazing  Private room at the basement &private TV,64538392,Osama,,Wexford/Maryvale,43.7409,-79.30328,Private room,40,30,6,2022-03-04,0.28,4,308,4,
43598514,Home Away from Home,79151242,Matt,,North St.James Town,43.66796,-79.37687,Private room,70,28,1,2020-08-15,0.05,1,180,0,
43603463,Executive 1BR + Study in core downtown Toronto,135718015,Ayk,,Waterfront Communities-The Island,43.64022,-79.3801,Entire home/apt,219,28,3,2021-01-31,0.20,43,250,0,Exempt
43612210,"Front Line, Private Entrace, Entire Place",17636678,Lina,,Bayview Village,43.77586,-79.37865,Entire home/apt,154,28,0,,,1,180,0,
43612453,Hard Loft in Downtown Toronto,42076533,Charlotte,,Moss Park,43.65487,-79.35777,Entire home/apt,100,28,2,2020-09-07,0.10,1,0,0,
43613534,"Detached 3 bedroom Leslieville Home, Toronto",104679296,Greg,,South Riverdale,43.6577,-79.34079,Entire home/apt,395,14,7,2021-08-15,0.34,2,0,2,STR-2011-FDSXVB
43615402,High-end 2 bedroom suite in heart of North York,150188232,Sina,,Willowdale East,43.76906,-79.40247,Entire home/apt,97,4,28,2022-01-31,1.42,4,120,13,STR-2011-HGCKVJ
43620988,Cozy place near downtown and lakeshore,222207624,Wendy,,Mimico (includes Humber Bay Shores),43.61958,-79.50172,Private room,42,28,0,,,1,0,0,
43622873,Isolation Oasis! Studio/Private Garden & Entrance!,342457783,Sophie,,Palmerston-Little Italy,43.65953,-79.41035,Entire home/apt,1000,28,3,2020-12-01,0.15,11,0,0,
43623137,Beautiful one bedroom in Entertainment District !,785826,Sky View,,Waterfront Communities-The Island,43.64484,-79.39178,Entire home/apt,83,30,0,,,133,0,0,
43623583,"Isolation Oasis! New Bright 1 BDRM, Private Garden",342457783,Sophie,,Palmerston-Little Italy,43.65978,-79.40952,Entire home/apt,97,28,7,2021-12-04,0.34,11,56,4,
43623964,Presidential 1BR Condo in the Entertainment Dist.,135718015,Ayk,,Waterfront Communities-The Island,43.64834,-79.39347,Entire home/apt,199,28,2,2020-08-08,0.10,43,270,0,Exempt
43626479,Fully Furnished Bachelor+Den  Toronto Yorkville,203141388,Mo,,Annex,43.67265,-79.39063,Entire home/apt,75,180,0,,,1,180,0,
43628101,Richview Gardens Apartment,348027803,Tatiana,,Kingsview Village-The Westway,43.6867,-79.55313,Entire home/apt,169,5,15,2022-01-15,0.73,3,244,11,STR-2011-FYJKVD
43628215,Richview Gardens Suite,348027803,Tatiana,,Kingsview Village-The Westway,43.6871,-79.55511,Entire home/apt,247,4,9,2022-01-01,0.44,3,245,6,STR-2011-FYJKVD
43628864,"Cuarto, Excelente ubicación 2 personas",139148147,Stephany,,Corso Italia-Davenport,43.67675,-79.44354,Private room,32,28,0,,,1,0,0,
43637175,"Downtown by CN Tower, Stunning Lake Views 25th Flr",162933489,Anthony,,Waterfront Communities-The Island,43.6444,-79.38847,Entire home/apt,161,1,55,2022-03-06,2.62,1,316,50,STR-2011-FPJKVC
43640708,Rustic Downtown Toronto Farmhouse style townhouse,45016586,Mackenzie,,Niagara,43.64334,-79.41622,Entire home/apt,250,28,0,,,1,0,0,
43641580,"Stunning North York view 1BR Apt, Walk to TTC",35575233,Mohammad Ali,,Briar Hill-Belgravia,43.70532,-79.44022,Entire home/apt,100,28,0,,,1,0,0,
43642720,Designer Townhouse with 2 Bedrooms Free Parking,82791,Jennifer,,Islington-City Centre West,43.64269,-79.52883,Entire home/apt,135,180,2,2020-09-30,0.10,4,27,0,
43644241,Home Away from Home,348515163,Mariafe,,Waterfront Communities-The Island,43.64947,-79.38728,Entire home/apt,300,60,4,2021-07-06,0.28,1,358,3,
43649809,1 Bedroom Suite in Toronto Entertainment District,785826,Sky View,,Waterfront Communities-The Island,43.64906,-79.38709,Entire home/apt,110,28,1,2021-12-30,0.43,133,77,1,
43655349,Luxury Downtown Toronto Condo/Free Parking,348623927,Marieve,,Waterfront Communities-The Island,43.64394,-79.40147,Entire home/apt,147,1,129,2022-02-20,6.48,1,219,87,STR-2012-HLKVHK
43655687,2 story 3 bedroom+den townhouse/5 bed/1700sf,15912223,Shane,,Waterfront Communities-The Island,43.63995,-79.39605,Entire home/apt,543,28,0,,,19,246,0,
43655918,Cozy Condo with a Great View Near the Airport,348635350,Tosan,,West Humber-Clairville,43.72365,-79.61693,Private room,45,28,14,2021-05-25,0.72,1,279,2,
43663302,Bright House & Convenient with Revin View,184388733,Hamid,,Newtonbrook East,43.79472,-79.40276,Entire home/apt,130,28,7,2021-03-14,0.32,1,9,0,
43665351,Magnum - Luxury Executive Condo Yorkville,5988339,Toronto Luxury Suites,,Bay Street Corridor,43.66885,-79.38649,Entire home/apt,220,30,0,,,26,312,0,
43674899,Beautiful 2-BR 2nd Floor Apt. in prime location!,137475276,Alexandra,,Woodbine Corridor,43.66718,-79.31495,Entire home/apt,133,2,39,2022-02-15,2.01,1,4,30,STR-2012-FYWPHD
43675356,Discover the Portuguese culture in Toronto.,348806243,Maria,,Dovercourt-Wallace Emerson-Junction,43.66913,-79.43193,Entire home/apt,115,28,3,2020-06-20,0.14,3,365,0,
43680156,"5,000 S.Q. FOOT COTTAGE STYLE HOME [5 Bdrm/5 bath]",56118558,Sean,,Bathurst Manor,43.76795,-79.45689,Entire home/apt,413,3,18,2022-01-02,0.91,16,120,9,STR-2011-GHSXVF
43690506,Downtown old city hall,105083110,阿金,,Bay Street Corridor,43.65167,-79.38278,Private room,150,28,0,,,1,179,0,
43701868,Jr One bedroom Fully Furnished Condo #2,342316738,Davar,,Church-Yonge Corridor,43.6479,-79.37676,Entire home/apt,149,30,4,2021-07-31,0.24,29,66,1,
43702708,one room at basement shared public places,277257023,Beata,,Bayview Village,43.78308,-79.39014,Private room,26,90,0,,,2,308,0,
43703289,2 bedroom 1livingroom unit close to Finch station.,291712660,D.C,,Newtonbrook West,43.78126,-79.42217,Private room,99,28,0,,,1,89,0,
43703677,Master  bedroom,348806243,Maria,,Dovercourt-Wallace Emerson-Junction,43.67045,-79.43005,Private room,100,28,0,,,3,28,0,
43709314,Beautiful Condo in Queen West - T5,4356799,T.,,Roncesvalles,43.65266,-79.44799,Entire home/apt,95,28,2,2020-08-07,0.10,17,0,0,STR-2010-HMWKVJ
43714030,Designer 1BR + study Suite in Coveted Yorkville,135718015,Ayk,,Annex,43.66984,-79.39346,Entire home/apt,235,28,3,2021-10-01,0.15,43,173,1,
43715777,King West lower unit studio,89164066,Vic,,Niagara,43.64166,-79.40593,Entire home/apt,58,28,18,2022-01-26,0.88,2,36,6,
43716366,Single bedroom w/ closet. Shared bathroom/kitchen,348806243,Maria,,Dovercourt-Wallace Emerson-Junction,43.66909,-79.43014,Private room,83,28,0,,,3,365,0,
