id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51862834,Cutest apartment + best location + free parking,218679578,Florence,,Saint-Sauveur,46.81255,-71.24383,Entire home/apt,106,2,17,2022-02-06,2.64,1,134,17,305983
51924404,Mid century style condo- Downtown Qc w/2 bed /Bar,348456043,La Clé D'Or,,Saint-Roch,46.81121,-71.22576,Entire home/apt,200,3,2,2022-01-02,0.81,4,172,2,
51945718,Confortable 4½ pour la famille,413972798,Kevin,,Loretteville,46.85834,-71.36589,Entire home/apt,79,2,14,2022-03-03,2.23,1,67,14,
51955124,Le douanier Rousseau. Limoilou. Qc.,219704525,William Et Marie,,Vieux-Limoilou,46.82293,-71.23088,Entire home/apt,108,1,31,2022-02-21,4.97,2,170,31,
51956395,Grand 5½ neuf À 2 pas de l'hôpital l'Enfant Jésus,239448029,Carol,,Maizerets,46.83737,-71.22777,Entire home/apt,133,31,0,,,2,0,0,
51960655,BRIGHT APT ON LAST FLOOR - NEAR OLD QUÉBEC | C04,269004540,77 St-Vallier,,Saint-Roch,46.811169,-71.22924,Entire home/apt,122,1,9,2022-03-06,1.46,21,365,9,299293
51967671,Chaleureux petit appartement de 2 chambres,94091038,Antoine,,Vanier,46.81082,-71.26416,Entire home/apt,62,1,12,2022-03-01,7.83,1,86,12,302038
52021417,Hôtel à la maison - Le charme fou du Vieux !,28249488,Hôtel À La Maison,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81513,-71.20651,Entire home/apt,90,31,2,2022-01-05,0.46,8,310,2,
52027272,"Condo 2ch a coucher, piscine interieure + gym",421289485,LocationStfoy,,Saint-Louis,46.7735,-71.29942,Entire home/apt,199,1,0,,,1,313,0,
52070224,CONDO à Québec  Deux Grands Lits Queen Chaleureux,326187564,Patrick,,Quartier 5-4,46.85373,-71.19188,Entire home/apt,115,2,15,2022-03-06,2.62,1,351,15,
52085110,Centre Ville de Québec Logement 3 chambres,421711672,Louis,,Saint-Jean-Baptiste,46.81112,-71.21988,Entire home/apt,69,2,43,2022-02-21,8.27,1,47,43,
52146566,Lovely 1 bedroom apartment with free parking.,160527468,Nicolas,,Saint-Émile,46.88069,-71.32831,Entire home/apt,70,60,0,,,1,180,0,
52150665,Cute Apartment - Downtown Quebec,321313868,Nico,,Saint-Roch,46.81321,-71.22935,Entire home/apt,83,2,9,2022-01-08,1.64,5,270,9,306004
52181774,CONDO - Old Quebec - Terrace - Location,422412798,Gabriel,,Saint-Jean-Baptiste,46.80919,-71.22522,Entire home/apt,129,2,15,2022-02-21,2.71,1,86,15,306776
52182327,The healer*spa&bbq*kingmassagebed*backyard*2pkg,413128049,Patrick,,Vieux-Limoilou,46.82269,-71.2233,Entire home/apt,99,2,11,2022-02-13,2.28,3,305,11,
52215442,Chambre avec lit queen dans un appartement partagé,326319936,Carine,,Vanier,46.81817,-71.26625,Private room,50,1,4,2021-10-31,0.76,1,24,4,
52222240,Appartement complet dans sous-sol d’une maison,150544720,Katia,,Quartier 5-4,46.87128,-71.18048,Entire home/apt,70,1,5,2022-03-04,0.87,1,117,5,
52232086,* Cozy loft * Downtown Quebec *,321313868,Nico,,Saint-Roch,46.81374,-71.22822,Entire home/apt,87,2,8,2022-02-06,1.50,5,270,8,306004
52263799,Appartement propre et meublé!!,60831216,Emmanuelle,,Maizerets,46.83409,-71.22006,Entire home/apt,65,2,6,2021-11-26,1.03,1,0,6,
52266943,Best location in Quebec,97033720,Sylvain,,Saint-Jean-Baptiste,46.80975,-71.21845,Entire home/apt,138,3,16,2022-02-27,3.64,2,27,16,
52316871,Magnifique condo au centre ville près de tout!!,407098748,Francis,,Saint-Sauveur,46.80556,-71.24377,Entire home/apt,96,1,33,2022-02-20,6.15,2,339,33,
52336370,3BR next to Old Québec (private parking),117620135,Mc,,Saint-Jean-Baptiste,46.81005,-71.21977,Entire home/apt,207,1,17,2022-02-21,3.52,1,22,17,306391
52368328,Noovo St-Roch Loft - Le Témiscamingue CITQ #307221,150241002,Jean-Christophe,,Saint-Sauveur,46.811581,-71.232002,Entire home/apt,90,1,0,,,6,269,0,
52401272,Superb 2 bdr suite in Quebec charming neighborhood,90782663,Will,,Sillery,46.78201,-71.24801,Entire home/apt,189,2,12,2022-02-14,2.40,1,22,12,
52409066,The Best view in Historical Quebec City!,57242,Lilly,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81635,-71.20631,Entire home/apt,425,30,0,,,1,362,0,
52453641,Private bedroom available,383139358,Stephen,,Loretteville,46.84754,-71.36056,Private room,50,1,7,2022-03-02,1.32,1,74,7,
52489637,"Tout neuf,  condo 2 chambres dans St-Sauveur",44701521,Paul,,Saint-Sauveur,46.81,-71.23762,Entire home/apt,99,30,1,2021-12-19,0.37,7,114,1,
52492814,Maison chaleureuse avec cheminée,83964466,Anaïs,,L'Aéroport,46.76058,-71.39051,Private room,56,1,1,2021-10-12,0.20,1,86,1,
52516413,Penthouse - OLD QUEBEC - Elevator *281573*,409939097,Maude,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81416,-71.20677,Entire home/apt,175,2,9,2022-02-27,1.80,3,211,9,281573
52526316,"Charmant loft très bien équipé, avec stationnement",156934219,Anick,,Jésuites,46.85698,-71.25636,Entire home/apt,120,1,6,2022-01-31,1.30,1,0,6,
52531396,"#650 - Townhome in Charlesbourg with pool, spa, and parking",195649860,Claude,,Notre-Dame-des-Laurentides,46.89187,-71.32745,Entire home/apt,91,1,0,,,25,320,0,
52532498,Jumelé paisible à proximité du centre-ville,261886609,David,,Quartier 5-4,46.85726,-71.18595,Entire home/apt,92,1,5,2021-10-09,0.83,1,0,5,
52553193,Le loft Duchesnay,425355421,Jacques,,Quartier 5-4,46.85774,-71.1984,Entire home/apt,112,2,6,2022-03-07,1.25,1,90,6,
52556152,APPT SPACIEUX AVEC BALCON - NORD DE QUÉBEC CITY,281888918,David,,Maizerets,46.83745,-71.22188,Entire home/apt,68,2,3,2022-01-03,1.13,3,73,3,
52584043,Superbe. Condo et piscine quartier neuf près tout,425633156,Nancy,,Quartier 5-4,46.86981,-71.1772,Entire home/apt,400,1,0,,,1,365,0,
52597691,"""La Maison Coeur de Lion"" 
5 parking gratuit",425769448,Elena,,Cité Universitaire,46.77801,-71.28914,Entire home/apt,166,1,27,2022-03-01,5.29,1,8,27,xxxxxx
52598478,Best Location Old Town Modern Condo *Month/Year.c,310071000,Vistas,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81249,-71.21248,Entire home/apt,141,2,12,2022-02-22,3.53,12,312,12,
52598483,Best Location Old Town Modern Condo *Month/Year.b,310071000,Vistas,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81382,-71.2127,Entire home/apt,145,2,9,2022-02-21,2.65,12,323,9,
52599326,La Hébert sur Limoilou,27213304,Sylvain,,Lairet,46.83178,-71.23713,Private room,57,1,10,2022-03-06,2.19,2,138,10,
52621775,Chambre privée dans une coquette maison,35909387,Alexandre,,Vieux-Moulin,46.85238,-71.20534,Private room,58,1,5,2021-12-17,0.98,1,92,5,307002
52636519,Le logement du repos de l'ours,16154708,Melanie,,Saint-Sauveur,46.8093,-71.2302,Entire home/apt,40,31,1,2021-11-16,0.26,2,341,1,
52661584,Le308 - Close to Old Quebec (Free Parking),426291460,Mathieu,,Saint-Sauveur,46.811649,-71.231552,Entire home/apt,232,1,15,2022-03-04,3.85,1,239,15,297350
52663661,Directement dans le Vieux Québec tout à pied,30873530,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8129,-71.21408,Entire home/apt,122,2,7,2022-02-20,1.42,3,136,7,177914
52671829,"Charlesbourg, 2 chambres, piscine + SPA 3 saisons",206157337,André,,Notre-Dame-des-Laurentides,46.8915,-71.32628,Entire home/apt,91,31,0,,,19,321,0,
52672569,"Coquet petit loft rénové, Limoilou, près 3e Avenue",206157337,André,,Vieux-Limoilou,46.82339,-71.22115,Entire home/apt,45,31,0,,,19,362,0,
52681139,Apartment in the heart of Ste-Foy (Quebec City),150803503,Bruno,,Cité Universitaire,46.77642,-71.29824,Entire home/apt,82,1,13,2022-03-03,2.81,1,234,13,307580
52718315,DOWNTOWN QUEBEC CITY (PARKING INCLUDED),248671197,Sammy Gestion,,Saint-Sauveur,46.81168,-71.23366,Entire home/apt,72,1,4,2022-01-10,0.92,2,72,4,
52731589,"Condo with view , parking & fireplace",61415048,Isabelle,,Saint-Roch,46.815403,-71.221916,Entire home/apt,400,2,6,2022-03-06,2.31,1,301,6,307102
